col0,col1,col2,col3,col4,col5
Remote Observed Dosing of Suboxone to Improve Clinical Practice,phase I clinical trial,40,45,United States of America,2019-01-01
Study for Naltrexone on the Abuse Potential of Methylphenidate,phase I clinical trial,94,45,United States of America,2018-03-27
A Study to Evaluate the Safety and Efficacy of JCAR017 in Pediatric Subjects With Relapsed/Refractory (r/r) B-cell Acute Lymphoblastic Leukemia (B-ALL) and B-cell Non-Hodgkin Lymphoma (B-NHL),phase I clinical trial,110,25,Spain,2018-10-17
First in Humans to Evaluate Collagen Patches With Stem Cells in Patients With Ischemic Left Ventricular Dysfunction,phase I clinical trial,10,80,Spain,2018-11-13
Bioequivalence Study of NPC-12 (Sirolimus) Granules and Tablets,phase I clinical trial,10,39,Japan,2018-12-01
A Research Study of How Different Amounts of a New Medicine NNC0148-0287 C (Insulin 287) Works on the Blood Sugar of People Who Are Japanese With Type 1 Diabetes When Given Once a Week,phase I clinical trial,24,64,Japan,2018-12-07
Intranasal Insulin and Olanzapine Study in Healthy Volunteers,phase I clinical trial,64,45,Canada,2019-03-01
BGB-290 and Temozolomide in Treating Isocitrate Dehydrogenase (IDH)1/2-Mutant Grade I-IV Gliomas,phase I clinical trial,78,25,Canada,2019-03-01
A Comparison of How Likely it is That Different Tablets of Oxycodone Will be Broken up and Snorted by Adults Who Sometimes Take Drugs for Pleasure,phase I clinical trial,123,55,Canada,2018-07-24
A Clinical Study in Healthy Adults Who Sometimes Take Drugs for Pleasure to Investigate the Safety and Tolerability of GRT0151Y and to Find Out Which Single Dose of the Compound is Maximally Tolerated,phase I clinical trial,21,55,Canada,2006-01-20
A Clinical Study in Healthy Adults Who Sometimes Take Drugs for Pleasure Which Aims to Evaluate Whether GRT0151Y is Likely to be Abused,phase I clinical trial,76,55,Canada,2007-06-21
Assessment of Hand-grip in the Prevention of Postural Orthostatic Hypotension,phase I clinical trial,20,85,Israel,2012-04-01
A Study for Moderate Osteoarthritis of the Knee,phase I clinical trial,76,65,India,2011-08-01
