col0,col1,col2,col3,col4
legislative body of Wicklow County Council,32,Ireland,County Wicklow,5
legislative body of Carlow County Council,18,Ireland,County Carlow,2
legislative body of Clare County Council,28,Ireland,County Clare,4
legislative body of Kilkenny County Council,24,Ireland,County Kilkenny,4
legislative body of Roscommon County Council,18,Ireland,County Roscommon,3
legislative body of Donegal County Council,37,Ireland,County Donegal,5
legislative body of Sligo County Council,18,Ireland,County Sligo,2
legislative body of Mayo County Council,30,Ireland,County Mayo,4
legislative body of Limerick City and County Council,40,Ireland,County Limerick,6
legislative body of Kildare County Council,40,Ireland,County Kildare,5
legislative body of Galway County Council,39,Ireland,County Galway,5
legislative body of Cork County Council,55,Ireland,County Cork,8
legislative body of Limerick City and County Council,40,Ireland,Limerick,6
