col0,col1,col2,col3
Hubbell Trading Post National Historic Site,Hubbell Trading Post,National Historic Landmark,Ganado
Charles Pinckney National Historic Site,Charles Pinckney,National Historic Landmark,Mount Pleasant
Andrew Johnson National Historic Site,Andrew Johnson,place listed on the National Register of Historic Places,Greeneville
Eleanor Roosevelt National Historic Site,Eleanor Roosevelt,place listed on the National Register of Historic Places,Hyde Park
James A. Garfield National Historic Site,James A. Garfield,National Historic Landmark,Mentor
Saint Croix Island International Historic Site,Saint Croix Island,place listed on the National Register of Historic Places,Washington County
John Muir National Historic Site,John Muir,National Historic Landmark,Martinez
Tuskegee Institute National Historic Site,Tuskegee University,place listed on the National Register of Historic Places,Macon County
Thomas Stone National Historic Site,Thomas Stone,National Historic Landmark,Charles County
First Ladies National Historic Site,First Lady of the United States,place listed on the National Register of Historic Places,Canton
Clara Barton National Historic Site,Clara Barton,National Historic Landmark,Glen Echo
Chimney Rock National Historic Site,Chimney Rock,place listed on the National Register of Historic Places,Morrill County
Fort Laramie National Historic Site,Jacques La Ramee,place listed on the National Register of Historic Places,Goshen County
Fort Bowie National Historic Site,Fort Bowie,place listed on the National Register of Historic Places,Cochise County
Sagamore Hill National Historic Site,Sagamore Hill,place listed on the National Register of Historic Places,Nassau County
Frederick Law Olmsted National Historic Site,Frederick Law Olmsted,National Historic Landmark,Brookline
William Howard Taft National Historic Site,William Howard Taft,National Historic Landmark,Cincinnati
Ford's Theatre National Historic Site,Ford's Theatre,place listed on the National Register of Historic Places,"Washington, D.C."
Frederick Douglass National Historic Site,Frederick Douglass,place listed on the National Register of Historic Places,"Washington, D.C."
