col0,col1,col2
Flight of the Conchords,New Zealand,Jemaine Clement
omar and fred,France,Omar Sy
Flo & Eddie,United States of America,Mark Volman
Cocorico,Japan,Shōzō Endō
Laurel and Hardy,United States of America,Stan Laurel
Jake and Amir,United States of America,Jake
Chidori (comedy duo),Japan,Nobu
Těžkej Pokondr,Czech Republic,Roman Ondráček
Hijōkaidan,Japan,Silk
Jonathan and Darlene Edwards,United States of America,Jo Stafford
Tommy's,Japan,Tommy's Masa
Two Beat,Japan,Takeshi Kitano
Elinore Sisters,United States of America,Kate Elinore
Mathews & Bulger,United States of America,Harry Bulger
Mcfly & Carlito,France,Carlito
Gokuraku Tombo,Japan,Kōji Katō
Shinagawa Shoji,Japan,Hiroshi Shinagawa
Great Chicken Powers,Japan,Masaki Kitahara
The Bonchi,Japan,Osamu Bonchi
Oriental Radio,Japan,Atsuhiko Nakata
