col0,col1,col2,col3,col4
2018 Ronde van Drenthe,192.0,Fortuneo-Samsic 2018,41.67,Netherlands
2018 GP Industria & Artigianato di Larciano,199.2,Nippo-Vini Fantini-Europa Ovini 2018,42.78,Italy
2018 Nokere Koerse,191.1,UnitedHealthcare 2018,42.01,Belgium
Paris-Tours 2018,214.5,Katusha-Alpecin 2018,46.31,France
Gran Premio Bruno Beghelli 2018,196.3,Sky 2018,44.49,Italy
2018 Giro dell'Emilia,207.4,Sky 2018,40.2,Italy
Tour de Münster 2018,198.0,Sauerland NRW-SKS Germany 2018,44.81,Germany
2018 Grand Prix of Aargau Canton,185.9,Katusha-Alpecin 2018,43.17,Switzerland
2018 Milano–Torino,200.0,Israel Cycling Academy 2018,42.31,Italy
2018 Giro del Piemonte,191.0,Katusha-Alpecin 2018,43.94,Italy
