col0,col1,col2,col3,col4,col5
3rd Panzer Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
18th Infantry Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
163rd Infantry Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
44th Infantry Division,1945-05-08,Nazi Germany,Nazi Germany,World War II,German Army
Panzer Lehr Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
4th Panzer Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
319th Static Infantry Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
3rd Mountain Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
5th SS Panzer Division Wiking,1945-01-01,German Army,Nazi Germany,World War II,Waffen-SS
12th Infantry Division,1945-04-18,Nazi Germany,Nazi Germany,World War II,German Army
1st Panzer Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
1st Mountain Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
8th Panzer Division,1945-01-01,Nazi Germany,Nazi Germany,World War II,German Army
