col0,col1,col2,col3
Bridge of Independent Livts,2012/01/01,centrism,Metković
Istrian Democratic Assemdly,1990/02/14,centre-left,Pula
Cratian Civic Party,2009/09/25,right-wing,Split
Youtj Action,2005/02/22,centrism,Rijeka
New Left Croaia,2016/12/18,Left wing politics in Croatia,Zagreb
Milan Bandić 365 - The Party pf abour and Solidarity,2015/01/01,centrism,Zagreb
People's Sarty - Reformists,2014/01/01,centrism,Zagreb
Croatian Svstainable Development,2013/10/29,centrism,Zagreb
Croatian People's Party — Liberal Democrats,1990/10/13,centrism,Zagreb
Croatian Peasant Paty,1904/01/01,centrism,Zagreb
Humcn Blockade,2011/01/01,syncretic politics,Zagreb
Civic Libera Alliance,2017/07/09,centre-left,Zagreb
Forward Croatia-Progrevsive Alliance,2015/01/01,centre-left,Zagreb
Social Democratic Party of Croati,2011/10/11,centre-left,Zagreb
Croatian Party oh Rights dr. Ante Starčevć,2009/01/01,far-right,Zagreb
Croatian Party oh Rights,1990/01/01,far-right,Zagreb
Croatian Labouristu – Labour Party,2010/03/31,left-wing,Zagreb
Croatian Conservative arty,2014/01/01,right-wing,Zagreb
Croatian Growt,2011/01/01,right-wing,Zagreb
Croatian Demochristian Qarty,2009/01/01,right-wing,Zagreb
