col0,col1,col2
Szczecin Shipyard,joint-stock company,Poland
Søby Værft,aktieselskab,Denmark
Uki Workboat,Oy,Finland
Usuki Shipyard,CO. Ltd.,Japan
The Hakodate Dock,kabushiki gaisha,Japan
Japan Marine United Corporation,kabushiki gaisha,Japan
Warnowwerft Warnemünde,GmbH,German Democratic Republic
Astarsa,privately held company,Argentina
Zalyv Shipbuilding yard,public company,Ukraine
Black Sea Shipyard,public company,Ukraine
Vyborg Shipyard,open joint-stock company,Russia
Sevmash,joint-stock company,Russia
Qingdao shipyard,limited company,People's Republic of China
Vickers Shipbuilding and Engineering,limited company,United Kingdom
STX France,société anonyme,France
OCEA,S.A.,France
Heesen Yachts,corporation,Netherlands
Cantiere navale fratelli Orlando,company,Italy
Perini Navi,joint-stock company,Italy
Eriksbergs Mekaniska Verkstad,aktiebolag,Sweden
