col0,col1,col2
Arran Library,"Arran Library, Main Street, Brodick, Isle Of Arran, KA27 8DL",North Ayrshire Council
Inverbervie Library,"Inverbervie Library, Church Street, Inverbervie, Montrose, Angus, DD10 0RU, United Kingdom",Aberdeenshire Council
Battersea Reference Library,"265 Lavender Hill, SW11 1JB",Wandsworth London Borough Council
Putney Library,"Putney Library, 5/7 Disraeli Road, London SW15 2DR",Wandsworth London Borough Council
Leytonstone Library,"Leytonstone Library, 6 Church Lane, Leytonstone, E11 1HG",Waltham Forest London Borough Council
Walsall Central Library,"Walsall Central Library, Lichfield Street,  Walsall, WS1 1TR",Walsall Metropolitan Borough Council
Thimblemill Library,"Thimblemill Library, Thimblemill Road,  Smethwick, B67 5RJ",Sandwell Metropolitan Borough Council
Leeds Central Library,"Leeds Central Library, Municipal Buildings,  Calverley Street,  Leeds, LS1 3AB",Leeds City Council
Kensington Central Library,"Kensington Central Library, Phillimore Walk, London, W8 7RX",Kensington and Chelsea London Borough Council
Brentford Library,"Brentford Library, Boston Manor Road, London, TW8 8DW",Hounslow London Borough Council
Harlington Library,"Harlington Library, Pinkwell Lane, Hayes, Middlesex, UB3 1PB",Hillingdon London Borough Council
Ware Library,"Ware Library, 87 High Street, Ware, Hertfordshire, SG12 9AD",Hertfordshire County Council
Winchester Discovery Centre,"Winchester Discovery Centre Library, Jewry Street, Winchester, SO23 8SB",Hampshire County Council
Hammersmith Library,"Hammersmith Library, Shepherds Bush Road, London, W6 7AT",Hammersmith and Fulham London Borough Council
Fulham Library,"Fulham Library, 598 Fulham Road, Fulham, London, SW6 5NX",Hammersmith and Fulham London Borough Council
New Addington Library,"New Addington Library, New Addington Centre, 61 Central Parade, New Addington, CR0 0JD",Croydon London Borough Council
Cahuenga Branch,"Cahuenga Branch, 4591 Santa Monica Blvd., Los Angeles, CA 90029-1827, USA",Los Angeles Public Library
Tsz Wan Shan Public Library,"Tsz Wan Shan Public Library, Shop 702, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan, Kowloon, Hong Kong",Hong Kong Public Libraries
South Lamma Public Library,"South Lamma Public Library, Second Street, Sok Kwu Wan, Lamma Island, N.T., Hong Kong",Hong Kong Public Libraries
Mui Wo Public Library,"Mui Wo Public Library, G/F, Mui Wo Municipal Services Building, 9 Ngan Shek Street, Mui Wo, Lantau Island, N.T., Hong Kong",Hong Kong Public Libraries
