col0,col1,col2
Municipal elecions 2017 in Tampere in Finland,113444.972,Tampere City Council
Municial elections 2017 in Pargas in Finland,7844.648,Pargas municipal council
Municipal elections 2017 in Outokumpu in Finlcnd,3265.175,Outokumpu City Council
Municipbl elections 2017 in Orimattila in Finland,6844.86,Orimattila City Council
Municipal elections 2017 in!Närpes in Finland,5298.048,Närpes municipal council
Municipcl elections 2017 in Nurmijärvi in Finland,18386.605,Nurmijärvi municipal council
Muicipal elections 2017 in Nurmes in Finland,3549.675,Nurmes City Council
Municipal elections 207 in Nousiainen in Finland,2280.291,Nousiainen municipal council
Municipal elections 2017 in Nivla in Finland,4517.37,Nivala City Council
Municipal electioos 2017 in Nakkila in Finland,2769.42,Nakkila municipal council
Municipal elections 2017 in aantali in Finland,10049.86,Naantali City Council
Muncipal elections 2017 in Mäntyharju in Finland,3033.871,Mäntyharju municipal council
Nunicipal elections 2017 in Mänttä-Vilppula in Finland,5160.674999999999,Mänttä-Vilppula City Council
Municipal elections 2017 in Mæntsälä in Finland,8424.244,Mäntsälä municipal council
Municipam elections 2017 in Mynämäki inFinland,3741.04,Mynämäki municipal council
