col0,col1,col2,col3
Walmart,Linux Foundation,Bentonville,1962-07-02
Verizon Wireless,FIDO Alliance,Basking Ridge,2000-01-01
C&A,German Council of Shopping Centers,Vilvoorde,1841-01-01
Magnit,ACORT,Krasnodar,1994-01-01
C&A,German Council of Shopping Centers,Düsseldorf,1841-01-01
Real,Deutscher Dialogmarketing Verband,Düsseldorf,1992-01-01
Walmart,Linux Foundation,Arkansas,1962-07-02
Budnikowsky,German Council of Shopping Centers,Hamburg,1912-01-01
DNS,ACORT,Vladivostok,1998-01-01
Lenta,ACORT,Saint Petersburg,1993-01-01
