col0,col1,col2,col3
Panthéon-Assas University,Paris,France,Sorbonne Universities
University of Bordeaux 1,Bordeaux,France,PRES University of Bordeaux
University Paul-Cézanne - Aix Marseille III,Aix-en-Provence,France,PRES Aix-Marseille University
University of Provence - Aix-Marseille I,Marseille,France,PRES Aix-Marseille University
University of the Mediterranean - Aix Marseille II,Marseille,France,PRES Aix-Marseille University
University of Southern Brittany,Lorient,France,Brittany and Loire University
University of Angers,Angers,France,Brittany and Loire University
University of Western Brittany,Brest,France,Brittany and Loire University
University of Nantes,Nantes,France,Brittany and Loire University
University of Rennes 1,Rennes,France,Brittany and Loire University
University of Rennes 2 - Upper Brittany,Rennes,France,Brittany and Loire University
University Toulouse - Jean Jaurès,Toulouse,France,Federal University of Toulouse Midi-Pyrénées
Toulouse III University - Paul-Sabatier,Toulouse,France,Federal University of Toulouse Midi-Pyrénées
University of Nice Sophia-Antipolis,Nice,France,University Côte d'Azur (ComUE)
University of Pau and Pays de l'Adour,Pau,France,Community of universities and higher education institutions of Aquitaine
Université de Versailles Saint-Quentin-en-Yvelines,Versailles,France,University of Paris-Saclay
Paris 8 University,Saint-Denis,France,Paris Lumieres University
Paris 12 Val de Marne University,Créteil,France,University of Paris-Est
Paris-Sorbonne University - Paris IV,rue Victor-Cousin,France,Sorbonne Universities
University of Paris VI: Pierre-and-Marie-Curie University,Paris,France,Sorbonne Universities
