col0,col1,col2
Bedminster Library,"Bedminster Library, St Peter's Court,  Bedminster, BS3 4AQ",Bristol City Council
Shirehampton Library,"Shirehampton Library, Station Road,  Shirehampton, Bristol, BS11 9TU",Bristol City Council
Clifton Library,"Clifton Library, Princess Victoria Street, Clifton, BS8 4BX",Bristol City Council
Bingham Library,"Bingham Library, The Waterloo, Cirencester, Gloucestershire, GL7 2PZ",Gloucestershire County Council
Saffron Walden Library,"Saffron Walden Library, 2 King Street, Saffron Walden, Essex, CB10 1ES",Essex County Council
Liskeard Library,"Liskeard Library, Barras Street, Liskeard, Cornwall, PL14 6AB",Cornwall Council
Jubilee Library,"Jubilee Street,  Brighton, BN1 1GE",Brighton and Hove City Council
John Harvard Library,"John Harvard Library, 211 Borough High Street, London, SE1 1JA",Southwark London Borough Council
Kent History and Library Centre,"Maidstone library,  Maidstone, Kent, ME14 1LQ",Kent County Council
Kilburn Library,"Kilburn Library, 42 Salusbury Road, Kilburn, London, NW6 6NN",Brent London Borough Council
Blackpool Central Library,"Blackpool Central Library, Queen Street, Blackpool FY1 1PX",Blackpool Council
Darwen Library,"Knott Street,  Darwen, BB3 3BU",Blackburn with Darwen Borough Council
Dulwich Library,"368 Lordship Lane, SE22 8NB",Southwark London Borough Council
Dartford Library,"Dartford Library, Central Park, Market Street, Dartford, Kent, DA1 1EU",Kent County Council
Croydon Central Library,"Croydon Central Library, Katharine Street, Croydon, CR9 1ET",Croydon London Borough Council
Chesham Library,"Chesham Library, Elgiva Lane, Chesham, Buckinghamshire, HP5 2JD",Buckinghamshire County Council
Wong Nai Chung Public Library,"Wong Nai Chung Public Library, 3/F., Wong Nai Chung Municipal Services Building, 2 Yuk Sau Street, Happy Valley, Hong Kong",Hong Kong Public Libraries
Ap Lei Chau Public Library,"Ap Lei Chau Public Library, 5/F., Ap Lei Chau Municipal Services Building, 8 Hung Shing Street, Ap Lei Chau, Hong Kong",Hong Kong Public Libraries
San Po Kong Public Library,"San Po Kong Public Library, 3/F., San Po Kong Plaza, 33 Shung Ling Street, San Po Kong, Kowloon, Hong Kong",Hong Kong Public Libraries
Birkenhead Central Library,"Birkenhead Central Library, Borough Road, Birkenhead, Wirral, CH41 2XB",Wirral Council
