col0,col1,col2,col3
Hviids Vinstue,Denmark,1723-01-01,Kongens Nytorv
El Quijote,United States of America,1930-01-01,23rd Street
Bar Basso,Italy,1947-01-01,Via Plinio
Sobrino de Botín,Spain,1725-01-01,Calle de los Cuchilleros
Colony,United Kingdom,2010-01-01,Paddington Street
El Pentagrama,Spain,1976-01-01,calle de la Palma
Vinstue 90,Denmark,1916-01-01,Gammel Kongevej
Cherry Bar,Australia,1999-01-01,ACDC Lane
KoToPo,France,1999-01-01,rue René-Leynaud
Casa del Popolo,Canada,2000-09-01,Saint Laurent Boulevard
Mikkeller Bar Aarhus,Denmark,2015-08-28,Jægergårdsgade
Bodytalk,Netherlands,1987-01-01,Oudegracht
