col0,col1,col2
Orlando Cabinet,Nitti I Cabinet,1917-10-29
Menabrea I Cabinet,Menabrea II Cabinet,1867-10-27
Rattazzi II Cabinet,Menabrea I Cabinet,1867-04-10
Menabrea III Cabinet,Lanza Cabinet,1869-05-13
Minghetti I Cabinet,La Marmora II Cabinet,1863-03-24
Luzzatti Cabinet,Giolitti IV Cabinet,1910-03-31
Sonnino I Cabinet,Giolitti III Cabinet,1906-02-08
Zanardelli Cabinet,Giolitti II Cabinet,1901-02-15
Fortis I Cabinet,Fortis II Cabinet,1905-03-28
Tittoni Cabinet,Fortis I Cabinet,1905-03-12
Rattazzi I Cabinet,Farini Cabinet,1862-03-03
Bonomi I Cabinet,Facta I Cabinet,1921-07-04
Depretis VI Cabinet,Depretis VII Cabinet,1884-03-30
Depretis IV Cabinet,Depretis V Cabinet,1881-05-29
