col0,col1,col2,col3,col4,col5
2001 ASB Classic,2001 ASB Classic – Doubles,2000 ASB Classic,Women's Tennis Association,2001-01-06,Auckland
1996 Amway Classic,1996 Amway Classic – Doubles,1995 Amway Classic,Women's Tennis Association,1996-01-06,Auckland
2007 ASB Classic,2007 ASB Classic – Singles,2006 ASB Classic,Women's Tennis Association,2007-01-06,Auckland
2008 ASB Classic,2008 ASB Classic – Singles,2007 ASB Classic,Women's Tennis Association,2008-01-05,Auckland
1998 ASB Classic,1998 ASB Classic – Doubles,1997 ASB Classic,Women's Tennis Association,1998-01-10,Auckland
2009 ASB Classic,2009 ASB Classic – Doubles,2008 ASB Classic,Women's Tennis Association,2009-01-11,Auckland
2013 ASB Classic,2013 ASB Classic – Singles,2012 ASB Classic,Women's Tennis Association,2013-01-05,Auckland
2010 ASB Classic,2010 ASB Classic – Doubles,2009 ASB Classic,Women's Tennis Association,2010-01-09,Auckland
2002 ASB Classic,2002 ASB Bank Classic – Doubles,2001 ASB Classic,Women's Tennis Association,2002-01-05,Auckland
2017 ASB Classic (women),2017 ASB Classic – Women's Singles,2016 ASB Classic (women),Women's Tennis Association,2017-01-07,Auckland
2016 ASB Classic (women),2016 ASB Classic – Women's Singles,2015 ASB Classic,Women's Tennis Association,2016-01-09,Auckland
2015 ASB Classic,2015 ASB Classic – Singles,2014 ASB Classic,Women's Tennis Association,2015-01-10,Auckland
