col0,col1,col2
Central Bank of Azerbaijan,Azerbaijan,Azerbaijani manat
Central Bank of Belize,Belize,Belize dollar
Bank of Sudan,Sudan,Sudanese pound
Bank of the Republic of Burundi,Burundi,Burundian franc
National Bank of Cambodia,Cambodia,riel
Central Bank of The Gambia,Gambia,Gambian dalasi
Bank of Namibia,Namibia,Namibian dollar
Bank of Korea,South Korea,South Korean won
Central Bank of Bahrain,Bahrain,Bahraini dinar
Royal Monetary Authority of Bhutan,Bhutan,Bhutanese ngultrum
National Bank of Angola,Angola,Angolan kwanza
Bank Al-Maghrib,Morocco,Moroccan dirham
Da Afghanistan Bank,Afghanistan,Afghan afghani
Central Bank of Egypt,Egypt,Egyptian pound
Central Bank of Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark
Central Bank of the Republic of Turkey,Turkey,Turkish lira
Bank of Eritrea,Eritrea,Eritrean nakfa
Bank Negara Malaysia,Malaysia,Malaysian ringgit
National Bank of Romania,Romania,Romanian leu
Czech National Bank,Czech Republic,Czech koruna
