col0,col1,col2
Ysgol Clywedog,2003-01-01,Wrexham
Ysgol Rhiwabon,1575-01-01,Wrexham
Ysgol Syr Thomas Jones,1950-01-01,Amlwch
Aberdare Community School,2014-01-01,Aberdare
Ysgol Gyfun Gwent Is Coed,2016-09-01,Newport
Ysgol gifyn gwyyr,1984-01-01,Swansea
Cardiff Sixth Form College,2004-01-01,Cardiff
Ysgol Penllwyn,1800-01-01,Aberystwyth
Ysgol Gymraeg Llangennech,2017-09-01,Llangennech
Ysgol Y Rhos,2019-05-01,Treuddyn
Cardiff Academy,2003-01-01,Roath
Cymer Afan Comprehensive School,1932-01-01,Cymmer
Ysgol Rhyd y Llan,2017-09-01,Llanfaethlu
Ysgol Calon Cymru,2018-09-01,Builth Wells
Broughton Primary School,2011-09-01,Broughton
Haverfordwest High VC School,2018-09-01,Haverfordwest
St James Primary,2005-09-01,Caerphilly
Victoria Primary School,2010-09-01,Wrexham
Ysgol Cybi,2017-09-01,Holyhead
St Clare's School,1938-09-01,Porthcawl
