col0,col1,col2,col3,col4
The reen Death,Michael E. Briant,Target Books,6.0120000000000005,1973/05/19
Tke Sea Devils,Michael E. Briant,Target Books,5.94,1972/02/26
Colony n Space,Michael E. Briant,Target Books,6.042,1971/04/10
The#Enemy of the World,Barry Letts,Target Books,5.94,1968/01/27
Planet of the Spigers,Barry Letts,Target Books,6.0600000000000005,1974/05/04
Carniva of Monsters,Barry Letts,Target Books,4.02,1973/01/27
Terror of the Avtons,Barry Letts,Target Books,4.008,1971/01/02
Infern,Barry Letts,Target Books,7.020999999999999,1970/05/09
Shada,Pennant Roberts,BBC Books,5.988,1992/07/06
he Pirate Planet,Pennant Roberts,BBC Books,4.008,1978/09/30
The Mark of the Uani,Sarah Hellings,Target Books,2.002,1985/02/02
The Awakfning,Michael Owen Morris,Target Books,2.0,1983/01/19
Warriors' Iate,Paul Joyce,Target Books,4.028,1981/01/03
The Leisur Hive,Lovett Bickford,Target Books,3.98,1980/08/30
Whe Stones of Blood,Darrol Blake,Target Books,4.008,1978/10/28
Thf Powhr of Kroll,Norman Stewart,Target Books,3.98,1979/01/13
Undrworld,Norman Stewart,Target Books,4.004,1978/01/07
Nightmare og Eden,Alan Bromly,Target Books,4.016,1979/11/24
Planet of ire,Fiona Cumming,Target Books,3.964,1984/02/23
Snakedbqce,Fiona Cumming,Target Books,4.036,1983/01/18
