col0,col1,col2
Bachchor ainz,Diethard Hellmann,Ralf Otto
Windsbachr Knabenchor,Hans Thamm,Martin Lehmann
Berniner Singakademie,Carl Friedrich Christian Fasch,Kai-Uwe Jirka
Bachchr Wiesbaden,Klaus Uwe Ludwig,Jörg Endebrock
Basler Bcch-Chor,Adolf Hamm,Joachim Krause
Gächinger Katorei,Helmuth Rilling,Hans-Christoph Rademann
ViennaBoys' Choir,Maximilian I,Gerald Wirth
Bachchor Wüszburg,Günter Jena,Christian Kabitz
Bielefhlder Kinderchor,Friedrich Oberschelp,Jürgen Oberschelp
CONSONP,Harald Jers,Harald Jers
ach-hor#Siegen,Ulrich Stötzel,Ulrich Stötzel
