col0,col1,col2,col3
St Ursula's Convent School,London,1850-01-01,Roman Catholic Archdiocese of Southwark
St Thomas More Catholic Comprehensive School,London,1964-01-01,Roman Catholic Archdiocese of Southwark
Saints Peter and Paul Catholic College,Halton,1952-01-01,Roman Catholic Archdiocese of Liverpool
Bishop Milner Catholic College,Dudley,1960-01-01,Roman Catholic Archdiocese of Birmingham
Saint John Houghton Catholic Voluntary Academy,Derbyshire,1965-01-01,Roman Catholic Diocese of Nottingham
St Bede's Catholic Voluntary Academy,North Lincolnshire,2012-04-01,Roman Catholic Diocese of Nottingham
"Cardinal Allen Catholic High School, Fleetwood",Fleetwood,1963-01-01,Roman Catholic Diocese of Lancaster
Holy Family Catholic School,London Borough of Waltham Forest,1988-01-01,Roman Catholic Diocese of Brentwood
St Peter's Catholic School,Surrey,1969-01-01,Roman Catholic Diocese of Arundel and Brighton
Samworth Church Academy,Nottinghamshire,1945-01-01,Diocese of Southwell and Nottingham
St Richard Reynolds Catholic High School,London Borough of Richmond upon Thames,2013-01-01,Roman Catholic Archdiocese of Westminster
The Ilfracombe Academy,Ilfracombe,2013-05-01,Diocese of Exeter
The Green School for Boys,London Borough of Hounslow,2017-09-03,Diocese of London
The King's Church of England School,City of Wolverhampton,1998-09-01,Diocese of Lichfield
St Michael's Church of England High School,Lancashire,2011-07-01,Diocese of Blackburn
