col0,col1,col2,col3
KDAF,1967-01-01,Dallas–Fort Worth metroplex,United States of America
KAZD,1999-01-01,Dallas–Fort Worth metroplex,United States of America
KCND-TV,1960-11-07,Pembina County,United States of America
KCWE,1996-01-01,Kansas City,United States of America
KBYU-TV,1965-01-01,Provo,United States of America
KCTU-LD,1992-01-01,Kansas,United States of America
KBSH-DT,1958-01-01,Kansas,United States of America
KCHF,1984-01-01,New Mexico,United States of America
KAZQ,1987-01-01,New Mexico,United States of America
KCWX,2000-01-01,Texas,United States of America
KCEN-TV,1953-01-01,Texas,United States of America
