col0,col1,col2,col3
RAO UES,577000,Russia,Unipro
Viacom,11200,United States of America,ViacomCBS
Hewlett-Packard,66000,United States of America,HP Inc.
Ahold,85000,Netherlands,Ahold Delhaize
Hewlett-Packard,66000,United States of America,Hewlett Packard Enterprise
Amazon Logistic Prague,3493,Czech Republic,Amazon Czech Republic Services
Kaupthing Bank,3330,Iceland,Arion Bank
Správa pohledávek OKD,7753,Czech Republic,OKD
CASA,7000,Spain,Airbus Military
3Com,6000,United States of America,Hewlett-Packard
