col0,col1,col2,col3
Sydney University 2019,cycling team season,2019-12-31,Jessica Pratt
Gusto StepFWD KOM 2019,cycling team season,2019-12-31,Jessica Mundy
AV Villas 2019,cycling team season,2019-12-31,Daniel Méndez Noreña
AURA Energi-CK Aarhus 2018,cycling team season,2018-12-31,Aske Vorre Louring
AURA Energi-JS.dk 2019,cycling team season,2019-12-31,Sebastian Lander
Sydney University 2019,club cycling team,2019-12-31,Jessica Pratt
Gusto StepFWD KOM 2019,club cycling team,2019-12-31,Jessica Mundy
AV Villas 2019,club cycling team,2019-12-31,Daniel Méndez Noreña
AURA Energi-CK Aarhus 2018,club cycling team,2018-12-31,Aske Vorre Louring
AURA Energi-JS.dk 2019,club cycling team,2019-12-31,Sebastian Lander
BEAT Cycling Club 2017,club cycling team,2017-12-31,Piotr Havik
