col0,col1,col2,col3
French Academy of Sciences,France,Paris,French Academy of Sciences member ID
"Royal Academy of Science, Letters and Fine Arts of Belgium",Belgium,Academy Palace,ARB person ID
Belgium Royal Academy of French language and literature,Belgium,Academy Palace,ARLLFB member ID
The World Academy of Sciences,Italy,Trieste,TWAS Fellow ID
"Academy of Sciences, Letters and Arts of Marseille",France,1st arrondissement of Marseille,Académie de Marseille member ID
Royal Society of Literature,United Kingdom,Somerset House,RSL author ID
Académie des sciences d'outre-mer,France,rue La Pérouse,Académie des sciences d'outre-mer member ID
Académie des Beaux-Arts,France,Paris,Académie des beaux-arts member ID
Académie des Sciences Morales et Politiques,France,Paris,ASMP member ID
Académie Française,France,Paris,Académie française member ID
