col0,col1,col2,col3,col4
Funo Centergross railway halt,2003-09-23,Funo,bronze station,Rete Ferroviaria Italiana
Genova San Biagio railway halt,2005-01-01,San Biagio Church,bronze station,Rete Ferroviaria Italiana
Marina di Maratea railway halt,1916-01-01,Marina di Maratea,bronze station,Rete Ferroviaria Italiana
Casletto-Rogeno railway halt,1888-01-01,Rogeno,bronze station,Rete Ferroviaria Italiana
Cassago-Nibionno-Bulciago railway halt,1911-01-01,Bulciago,bronze station,Rete Ferroviaria Italiana
Fidene railway halt,1995-01-01,Fidene,silver station,Rete Ferroviaria Italiana
Genova Pra railway halt,2006-04-02,Pra',silver station,Rete Ferroviaria Italiana
Magliana railway halt,2002-01-01,Magliana Vecchia,silver station,Rete Ferroviaria Italiana
Duomo-Via Vernieri railway halt,2003-01-01,Salerno Cathedral,silver station,Rete Ferroviaria Italiana
Gemelli railway halt,1971-01-01,Agostino Gemelli University Polyclinic,silver station,Rete Ferroviaria Italiana
Genova Sturla railway halt,1915-01-01,Sturla,silver station,Rete Ferroviaria Italiana
Genova Pegli railway halt,1856-01-01,Pegli,silver station,Rete Ferroviaria Italiana
Genova Quinto al Mare railway halt,1922-01-01,Quinto al Mare,silver station,Rete Ferroviaria Italiana
Carrara-Avenza railway halt,1862-01-01,Carrara,silver station,Rete Ferroviaria Italiana
Ridotti-Collepiano railway halt,1983-01-01,Collepiano,bronze station,Rete Ferroviaria Italiana
Olcio railway halt,1892-01-01,Olcio,bronze station,Rete Ferroviaria Italiana
Morrea-Castronovo-Rendinara railway halt,1902-01-01,Morrea,bronze station,Rete Ferroviaria Italiana
Morengo-Bariano railway halt,1878-01-01,Bariano,bronze station,Rete Ferroviaria Italiana
Muratella railway halt,1988-05-29,Muratella,silver station,Rete Ferroviaria Italiana
Fiumelatte railway halt,1892-01-01,Fiumelatte,bronze station,Rete Ferroviaria Italiana
