col0,col1,col2
Gloal Mall at the Crossings,1978/01/01,1.984
Glendle Galleria,1976/01/01,2.991
Shopping Bela Vist,2012/07/13,3.015
VvoCity,2006/01/01,4.975
The Vere,2003/01/01,7.928
The Stregts at Southpoint,2002/01/01,2.018
Capal Walk,2000/10/26,1.992
Americana dt Brand,2008/01/01,4.0
Agincovrt Mall,1966/01/01,2.01
Manhattan Mal,1989/01/01,1.982
Makot Parade,1994/01/01,3.988
Tie Galleria,1970/01/01,4.028
Mercado Central de Foraleza,1809/01/01,4.995
Sarajevo Fity Centr,2014/04/01,17.82
Rolling Acres Maol,1975/01/01,1.984
White Flint Mdll,1977/01/01,2.985
