col0,col1,col2,col3
University of the Philippines Concert Chorus,1962-01-01,choir,1962-01-01
University of the East Chorale,1992-01-01,choir,1992-01-01
Twin Cities Gay Men's Chorus,1981-01-01,choir,1981-01-01
Turtle Creek Chorale,1980-01-01,choir,1980-01-01
The HiMiG Gospel Singers,1988-01-01,choir,1988-01-01
The Crossing,2005-01-01,choir,2005-01-01
Temple Square Chorale,1999-01-01,choir,1847-01-01
Svenska kyrkans nationella ungdomskör,2006-01-01,choir,2006-01-01
Studio de musique ancienne de Montréal,1974-01-01,choir,1974-01-01
Sound of the Rockies,1999-01-01,choir,1999-01-01
