col0,col1,col2,col3,col4
Marieberg Military Establishment,Stockholm City,Sweden,Svea Train Corps,Marieberg
Fårösund Garrison,Gotland Municipality,Sweden,3rd Coastal Artillery Regiment,Fårösund
Kiruna Garrison,Kiruna Municipality,Sweden,Lapland Ranger Regiment,Kiruna
Vänersborg Garrison,Vänersborg Municipality,Sweden,Västergötland Regiment,Vänersborg
Uddevalla Garrison,Uddevalla Municipality,Sweden,Bohuslän Regiment,Uddevalla
Falun Garrison,Falun Municipality,Sweden,Dalarna Regiment,Falun
Kalmar Garrison,Kalmar Municipality,Sweden,Kalmar military district,Kalmar
Växjö Garrison,Växjö Municipality,Sweden,Kronoberg Regiment,Växjö
Borås Garrison,Borås Municipality,Sweden,Älvsborg Regiment,Borås
Karlskrona Garrison,Karlskrona Municipality,Sweden,Swedish Armed Forces Diving and Naval Medicine Centre,Karlskrona
Gävle Garrison,Gävle Municipality,Sweden,Hälsinge Regiment,Gävle
Helsingborg Garrison,Helsingborg Municipality,Sweden,Crown Prince's Hussar Regiment,Helsingborg
Malmö Garrison,Malmö Municipality,Sweden,Crown Prince's Hussar Regiment,Malmö
Lund Garrison,Lund Municipality,Sweden,South Scanian Infantry Regiment,Lund
Niinisalo garrison,Kankaanpää,Finland,Pori Brigade,Niinisalo
Vaxholm Garrison,Vaxholm Municipality,Sweden,1st Amphibious Regiment,Vaxholm
Ystad Garrison,Ystad Municipality,Sweden,Scanian Dragoon Regiment,Ystad
Östersund Garrison,Östersund Municipality,Sweden,Jämtland Ranger Regiment,Östersund
Luleå Garrison,Luleå Municipality,Sweden,Norrland Air Defence Corps,Luleå
Jönköping Garrison,Jönköping Municipality,Sweden,Jönköping Regiment,Jönköping
