col0,col1,col2,col3,col4,col5
State Duma,Federal Assembly of the Russian Federation,Russia,450,member of the State Duma,Building of the Council of Labor and Defense
Legislative Assembly of New Brunswick,Legislature of New Brunswick,New Brunswick,49,member of the Legislative Assembly of New Brunswick,New Brunswick Legislative Building
Sejm of the Republic of Poland,National Assembly,Poland,460,Marshal of the Sejm,Sejm and Senate Complex of Poland
Congress of Deputies,Cortes Generales,Spain,350,Member of the Congress of Deputies of Spain,Palacio de las Cortes
Legislative Assembly of Manitoba,Legislature of Manitoba,Manitoba,57,member of the Legislative Assembly of Manitoba,Manitoba Legislative Building
People's Representative Council,People's Consultative Assembly,Indonesia,560,Member of the People's Representative Council of Indonesia,DPR/MPR Building
Newfoundland and Labrador House of Assembly,General Assembly of Newfoundland and Labrador,Newfoundland and Labrador,40,member of the Newfoundland and Labrador House of Assembly,Colonial Building
House of Representatives of the Philippines,Congress of the Philippines,Philippines,292,legislative district of the Philippines,Batasang Pambansa Complex
Nova Scotia House of Assembly,General Assembly of Nova Scotia,Nova Scotia,51,member of the Nova Scotia House of Assembly,Province House
House of Representatives,National Assembly of Belarus,Belarus,110,member of the House of Representatives of Belarus,Government House of Belarus
House of Representatives,Parliament of Australia,Australia,151,Member of the Australian House of Representatives,Parliament House
House of Representatives,National Assembly of Thailand,Thailand,500,member of the National Legislative Assembly of Thailand,Dusit
