col0,col1,col2,col3
Reconstructionist Rabbinical College,"1299 Church Rd, Wyncote, PA, 19095-1898",special focus four-year: faith-related institutions,Judaism
Biola University,"13800 Biola Ave, La Mirada, CA, 90639-0001",doctoral university: moderate research activity,undenominationalism
Bluffton University,"1 University Drive, Bluffton, OH, 45817-2104",baccalaureate colleges: diverse fields,Mennonite Church USA
Princeton Theological Seminary,"64 Mercer St, Princeton, NJ, 08542-0803",special focus four-year: faith-related institutions,Presbyterian Church (U.S.A.)
University of Dubuque,"2000 University Ave, Dubuque, IA, 52001",master's colleges and universities: small programs,Presbyterian Church (U.S.A.)
Campbell University,"450 Leslie Campbell Ave, Buies Creek, NC, 27506",master's colleges and universities: larger programs,Baptists
Saint Leo University,"33701 State Road 52, Saint Leo, FL, 33574-6665",master's colleges and universities: larger programs,Catholic Church
Ashland University,"401 College Avenue, Ashland, OH, 44805",doctoral university: moderate research activity,The Brethren Church
Transylvania University,"300 N Broadway, Lexington, KY, 40508-1797",baccalaureate colleges: arts and sciences focus,Christian Church (Disciples of Christ)
California Lutheran University,"60 W Olsen Rd, Thousand Oaks, CA, 91360-2787",master's colleges and universities: larger programs,Evangelical Lutheran Church in America
Brigham Young University–Idaho,"525 S Center, Rexburg, ID, 83460-1690",baccalaureate colleges: diverse fields,The Church of Jesus Christ of Latter-day Saints
Canisius College,"2001 Main St, Buffalo, NY, 14208-1098",master's colleges and universities: larger programs,Catholic Church
Santa Clara University,"500 El Camino Real, Santa Clara, CA, 95053",master's colleges and universities: larger programs,Catholic Church
Cincinnati Christian University,"2700 Glenway Ave, Cincinnati, OH, 45204-3200",special focus four-year: faith-related institutions,Christian churches and churches of Christ
Central Christian College of the Bible,"911 E Urbandale Dr, Moberly, MO, 65270-1997",special focus four-year: faith-related institutions,Christian churches and churches of Christ
Central Christian College of Kansas,"1200 S Main, McPherson, KS, 67460-5740",baccalaureate colleges: diverse fields,Free Methodist Church
Christian Theological Seminary,"1000 W 42nd St, Indianapolis, IN, 46208-3301",special focus four-year: faith-related institutions,Christian Church (Disciples of Christ)
Chowan University,"One University Place, Murfreesboro, NC, 27855",baccalaureate colleges: diverse fields,Southern Baptist Convention
Church Divinity School of the Pacific,"2451 Ridge Road, Berkeley, CA, 94709-1211",special focus four-year: faith-related institutions,Episcopal Church
Chicago Theological Seminary,"1407 E. 60th Street, Chicago, IL, 60637",special focus four-year: faith-related institutions,United Church of Christ
