col0,col1,col2,col3
41st government of Turkey,42nd government of Turkey,1977-01-01,1977-01-01
23rd government of Turkey,24th government of Turkey,1957-01-01,1957-01-01
Second Bruce Ministry,Third Bruce Ministry,1925-01-01,1925-01-01
Ninth Menzies Ministry,Tenth Menzies Ministry,1961-01-01,1961-01-01
Third Bruce Ministry,Scullin Ministry,1928-01-01,1928-01-01
Roman I Cabinet,Roman II Cabinet,1989-01-01,1989-01-01
Cabinet of Sigmundur Davíð Gunnlaugsson,Cabinet of Sigurður Ingi Jóhannsson,2013-01-01,2013-01-01
Mahlab Cabinet,Second Mahlab Cabinet,2014-01-01,2014-01-01
Beblawi Cabinet,Mahlab Cabinet,2013-01-01,2013-01-01
Laarayedh Cabinet,Jomaa Cabinet,2013-01-01,2013-01-01
Dahanayake cabinet,Second Dudley Senanayake cabinet,1959-01-01,1959-01-01
Second Sirimavo Bandaranaike cabinet,Jayewardene cabinet,1970-01-01,1970-01-01
26th government of Turkey,27th government of Turkey,1961-01-01,1961-01-01
16th government of Turkey,17th government of Turkey,1947-01-01,1947-01-01
Government of the 8th Dáil,Government of the 9th Dáil,1933-01-01,1933-01-01
McMahon Ministry,First Whitlam Ministry,1971-01-01,1971-01-01
Cabinet of Bjarni Benediktsson,Cabinet of Jóhann Hafstein,1963-01-01,1963-01-01
