col0,col1,col2,col3
Societé carnevalesque Einhorn Saverne,France,Swabian-Alemannic Fastnacht,"Fédération des Festivals, Carnavals et Fêtes de France"
Narrenzunft Krautscheißer Unterhausen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Rotenhäne Neuhausen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Großengstingen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Nautle Burladingen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenverein Haid-Bogenweiler-Sießen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Burrenweiblezunft Einhart,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Galgaweibla Ebenweiler,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Schelmenzunft Heudorf/Bussen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Gloggasäger Ertingen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenverein Dreiviertelsnarren Dürmentingen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Moorochs Bad Buchau,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
Narrenzunft Unlingen,Germany,Swabian-Alemannic Fastnacht,Vereinigung Freier Oberschwäbischer Narrenzünfte
