col0,col1,col2
Legislative Council of Singapore,1953-01-01,1946-01-01
Berkshire County Council,1998-04-01,1889-04-01
Australian Capital Territory House of Assembly,1986-01-01,1975-01-01
Soviet of the Republic,1993-01-01,1990-01-01
Constitutional Conference of the Russian Federation,1993-11-10,1993-06-02
State Council of the Soviet Union,1991-12-26,1991-09-05
Soviet of Nationalities,1993-01-01,1990-01-01
Supreme Council of the Republic of Latvia,1993-01-01,1990-01-01
Constituent Assembly of Georgia,1921-03-24,1919-02-14
House of Representatives of South Africa,1994-01-01,1984-01-01
Congress of People's Deputies of Russia,1993-01-01,1990-03-04
parliament of Yugoslavia,1992-01-01,1920-01-01
Congress of People's Deputies of the Soviet Union,1991-01-01,1988-01-01
National Assembly,2005-06-10,1948-03-29
Diet of Hungary,1918-01-01,1867-01-01
Supreme Soviet of the Soviet Union,1991-12-26,1938-01-12
Assembly of Estates,1868-01-01,1841-01-01
Northern Ireland Assembly,1974-05-28,1973-07-31
