col0,col1,col2,col3
Buffalo Beauts,Buffalo,LECOM Harborcenter,National Women's Hockey League
HC Sparta Praha,Prague,O₂ arena,Czech Extraliga
EHC Winterthur,Winterthur,Eishalle Deutweg,National League B
Esbjerg Energy,Esbjerg Municipality,Esbjerg Skøjtehal,AL-Bank Ligaen
HC Lev Praha,Prague,Tipsport Arena,Kontinental Hockey League
Buffalo Jr. Sabres,Buffalo,LECOM Harborcenter,Ontario Junior Hockey League
Canisius Golden Griffins men's ice hockey,Buffalo,LECOM Harborcenter,National Collegiate Athletic Association
Admiral Vladivostok,Vladivostok,Fetisov Arena,Kontinental Hockey League
Port Huron Border Cats,Port Huron,McMorran Place,International Hockey League
HIFK Hockey,Helsinki,Helsinki Ice Hall,Liiga
EHC Freiburg,Baden-Württemberg,Franz Siegel Stadion,DEL2
Vancouver Canucks,Vancouver,Rogers Arena,National Hockey League
HC Dukla Jihlava,Jihlava,Horácký zimní stadion,Czech Extraliga
HC Fribourg-Gottéron,Fribourg,BCF Arena,National League A
Nikkō Ice Bucks,Tochigi Prefecture,Nikkō Kirifuri Ice Arena,Asia League Ice Hockey
Eintracht Braunschweig,Brunswick,Eintracht-Stadion,2. Bundesliga
SaiPa,Lappeenranta,Kisapuisto,Liiga
Metallurg Magnitogorsk,Magnitogorsk,Magnitogorsk Arena,Kontinental Hockey League
EHC Olten,Olten,Eisbahn Kleinholz,National League B
HC Slovan Bratislava,Bratislava,Ondrej Nepela Arena,Kontinental Hockey League
