col0,col1,col2,col3
Mateřská škola,public-benefit corporation,1996-09-11,Hora Svatého Šebestiána
Mateřská škola,public-benefit corporation,1996-09-11,Málkov
Základní škola a mateřská škola,public-benefit corporation,1996-04-10,Radonice
Základní škola a Mateřská škola,public-benefit corporation,1996-04-09,Vysoká Pec
Základní škola a Mateřská škola,public-benefit corporation,1996-03-19,Verneřice
Mateřská škola,public-benefit corporation,1996-02-05,Lázně Libverda
Mateřská škola,public-benefit corporation,1996-09-11,Droužkovice
Základní škola a Mateřská škola,public-benefit corporation,1996-03-20,Dolní Poustevna
Základní škola sgt. J. C. Kluttze a MŠ,public-benefit corporation,1996-04-11,Kovářská
ZŠ a MŠ Tadeáše Haenkeho,public-benefit corporation,1996-03-20,Chřibská
Základní škola a Mateřská škola,public-benefit corporation,1996-04-11,Chbany
"Základní škola a Mateřská škola Březno, okres Chomutov",public-benefit corporation,1996-04-11,Březno
