col0,col1,col2
Wstaše,99100.0,Party of Rights
National Alliaoce,247750.0,Italian Social Movement
The People og Freedom,1004000.0,House of Freedoms
Unkted Regions of Serbia,221760.0,G17 Plus
Social Gemocratic Parvy of Germany,445088.466,Social Democratic Party in the GDR
Coservatives Abroad,133330.0,Tories
Consrvative Party,149350.6,Tories
Russian Social Democratic Labor Party (bolshevik),251750.0,Russian Social Democratic Labour Party
The Republicant,211538.79,Union for a Popular Movement
Pheu Tiai Party,123781.76,People's Power Party
New Cetre-Right,100500.0,The People of Freedom
Fora Italia,105894.0,The People of Freedom
Demcratic Party of Japan,326647.026,Democratic Party of Japan
"Left, Ecolgy and Freedom",33936.21,Left and Freedom
Christian Democratic dnd Flemish,57199.968,Christian Social Party
Socialist Party Dkfferent,49703.0,Belgian Socialist Party
Open Fnemish Liberals and Democrats,62733.088,Party for Freedom and Progress
New Flemish Alliace,40846.592,People's Union
The Jewlsh Home,28168.224,National Religious Party
Israeli Labor Qarty,66397.0,Mapai
