col0,col1,col2,col3
Oslo and Akershus University College of Applied Sciences,2011-08-01,Norway,Oslo Metropolitan University
Hedmark University College,1994-01-01,Norway,Inland Norway University of Applied Sciences
Lillehammer University College,1994-01-01,Norway,Inland Norway University of Applied Sciences
Stord/Haugesund University College,1994-01-01,Norway,Western Norway University of Applied Sciences
Sogn og Fjordane University College,1994-01-01,Norway,Western Norway University of Applied Sciences
Bergen University College,1994-01-01,Norway,Western Norway University of Applied Sciences
Gjøvik University College,1994-01-01,Norway,NTNU in Gjøvik
Nord-Trøndelag University College,1994-01-01,Norway,Nord University
Nesna University College,1994-08-01,Norway,Nord University
Oslo college of higher education,1912-01-01,Norway,Bislet College Center
Oslo University College,1994-08-01,Norway,Oslo and Akershus University College of Applied Sciences
Akershus University College,1994-08-01,Norway,Oslo and Akershus University College of Applied Sciences
Buskerud University College,1994-01-01,Norway,Buskerud and Vestfold University College
Vestfold University College,1994-01-01,Norway,Buskerud and Vestfold University College
Oslo Engineering College,1873-01-01,Norway,Oslo University College
Medicinska högskolan i Göteborg,1948-06-30,Sweden,University of Gothenburg
Sør-Trøndelag University College,1994-08-01,Norway,Norwegian University of Science and Technology
Norwegian College of General Sciences,1922-01-01,Norway,Norwegian University of Science and Technology
Aalesund University College,1994-01-01,Norway,Norwegian University of Science and Technology
Tromsø University College,1994-01-01,Norway,University of Tromsø – The Arctic University of Norway
