col0,col1,col2
St James' Roman Catholic Primary School,2012-04-01,Roman Catholic
Holy Family Catholic Primary School,2012-09-01,Roman Catholic
St Joseph's Catholic Primary School,2011-09-01,Roman Catholic
The Rosary Catholic Primary School,2011-09-01,Roman Catholic
St Anthony's Catholic Primary School,2011-09-01,Roman Catholic
St Dominic's Catholic Primary School,2011-09-01,Roman Catholic
Corpus Christi Catholic Primary School,2011-08-17,Roman Catholic
Christ The King Catholic Primary School,2011-09-01,Roman Catholic
Holy Rood Catholic Primary School,2011-08-01,Roman Catholic
St Alban's Catholic Academy,2011-08-01,Roman Catholic
Holy Cross Catholic Primary School,2011-08-01,Roman Catholic
St Helen's Catholic Junior School,2011-08-01,Roman Catholic
Holy Family Catholic Primary School,2010-08-31,Roman Catholic
The Rosary Catholic Primary School,2007-09-01,Roman Catholic
Our Lady Star of the Sea Catholic Primary School,2007-09-01,Roman Catholic
