col0,col1,col2,col3,col4
Horrorof Fang Rock,Paddy Russell,Target Books,3.96,1978/09/02
Invasion o the Dinosaurs,Paddy Russell,Target Books,6.042,1974/01/12
The Tomb ofthe Cybermen,Morris Barry,Target Books,3.992,1967/09/02
The omnators,Morris Barry,Target Books,4.985,1968/08/10
Thh Moonbase,Morris Barry,Target Books,4.016,1967/02/11
Th M|t Makers,Michael Leeston-Smith,Target Books,4.02,1965/10/16
The Space Musfum,Mervyn Pinfield,Target Books,4.008,1965/04/24
Attack of the C{bermen,Matthew Robinson,Target Books,2.006,1985/01/05
The Monster of Peldon,Lennie Mayne,Target Books,6.005999999999999,1974/03/23
The Thre Doctors,Lennie Mayne,Target Books,3.972,1972/12/30
The Crse of Peladon,Lennie Mayne,Target Books,4.032,1972/01/29
The Smuglers,Julia Smith,Target Books,4.008,1966/09/10
The Underwater enace,Julia Smith,Target Books,4.008,1967/01/17
The Atecs,John Crockett,Target Books,4.008,1964/05/23
Fury from thg Deep,Hugh David,Target Books,5.97,1968/03/16
he Highlanders,Hugh David,Target Books,4.008,1967/01/07
The AbominableSnowmen,Gerald Blake,Target Books,5.97,1967/09/30
he Sensorites,Frank Cox,Target Books,6.0600000000000005,1964/06/20
The Edge of Destructioq,Frank Cox,Target Books,1.994,1964/02/08
Terrou of the Zygons,Douglas Camfield,Target Books,4.04,1975/08/30
