col0,col1,col2,col3
Lupus Racing 2015,2015-01-01,Lupus Racing,Lupus Racing 2016
Jelly Belly-Maxxis 2015,2015-01-01,Jelly Belly-Maxxis,Jelly Belly-Maxxis 2016
Bike Aid 2015,2015-01-01,Bike Aid,Stradalli-Bike Aid 2016
ISD Continental 2014,2014-01-01,ISD,ISD Continental 2015
Home-Jack & Jones 1999,1999-01-01,Home-Jack & Jones,Memory Card-Jack & Jones 2000
Tinkoff-Saxo 2014,2014-01-01,Tinkoff-Saxo,Tinkoff-Saxo 2015
NetApp-Endura 2014,2014-01-01,NetApp-Endura,Bora-Argon 18 2015
Orica-GreenEDGE 2014,2014-01-01,Orica-GreenEDGE,Orica-GreenEDGE 2015
Sky 2014,2014-01-01,Sky,Sky 2015
BePink/Saison 2013,2013-01-01,BePink,2014 Astana BePink Womens Team season
Wallonie Bruxelles-Crédit agricole 2012,2012-01-01,Wallonie Bruxelles-Crédit Agricole,Wallonie-Bruxelles 2013
2013 Team Argos-Shimano season,2013-01-01,Argos-Shimano,2014 Team Giant-Shimano season
Rabo Women 2013,2013-01-01,Rabo Women,Rabo Liv Women 2014
Specialized-Lululemon 2013,2013-01-01,Specialized-Lululemon,Specialized-Lululemon 2014
Roubaix Lille Métropole 2012,2012-01-01,Roubaix Lille Métropole,Roubaix Lille Métropole 2013
Astana Continental 2012,2012-01-01,Astana Continental,Astana Continental 2013
Specialized-Lululemon 2012,2012-01-01,Specialized-Lululemon,Specialized-Lululemon 2013
Rabobank Women 2012,2012-01-01,Rabobank Women,Rabo Women 2013
2012 Team Skil-Argos season,2012-01-01,Skil-Argos,2013 Team Argos-Shimano season
2012 Saur-Sojasun season,2012-01-01,Saur-Sojasun,2013 Sojasun season
