col0,col1,col2
Old Alleynian Football Club,rugby union,1898-01-01
Marlow Rugby Union Football Club,rugby union,1947-01-01
Harpenden RFC,rugby union,1919-01-01
Nenagh Ormond,rugby union,1884-01-01
MKS Ogniwo Sopot,rugby union,1966-06-23
Kamaishi Seawaves,rugby union,2001-01-01
Rugby Clube de Santarém,rugby union,1995-01-01
Braga Rugby,rugby union,2010-01-01
Wharfedale R.U.F.C.,rugby union,1923-01-01
Ulster F.C.,rugby union,1877-01-01
Stourbridge R.F.C.,rugby union,1876-01-01
San Francisco Fog RFC,rugby union,2001-01-01
Reading R.F.C.,rugby union,1898-01-01
RC Rivne,rugby union,1999-01-01
Queen's University RFC,rugby union,1869-01-01
Pill Harriers RFC,rugby union,1880-01-01
Perthshire RFC,rugby union,1868-01-01
Penygraig RFC,rugby union,1877-01-01
Pentyrch RFC,rugby union,1882-01-01
Penrith RUFC,rugby union,1881-01-01
