col0,col1,col2,col3,col4,col5
Mechanisms Behind Antidiabetic Effects by Gastric By-pass,18,diabetes mellitus,Mechanisms Behind Antidiabetic Effects by Gastric By-pass,Uppsala University,2013-11-30
The Association Between Platelet Inhibition and Perioperative Major Adverse Cardiac Events In Post-Percutaneous Coronary Intervention (PCI) Patients Undergoing Non-Cardiac Surgery,18,thrombosis,The Association Between Platelet Inhibition and Perioperative Major Adverse Cardiac Events In Post-Percutaneous Coronary Intervention (PCI) Patients Undergoing Non-Cardiac Surgery,University of Toronto,2013-08-31
Factor XA - Inhibition in RENal Patients With Non-valvular Atrial Fibrillation - Observational Registry,18,atrial fibrillation,Factor XA - Inhibition in RENal Patients With Non-valvular Atrial Fibrillation - Observational Registry,Centre Hospitalier Universitaire d'Angers,2019-12-01
Active Surveillance Research Program for the Assessment of the Safety and the Effectiveness of Linagliptin,18,diabetes mellitus,Active Surveillance Research Program for the Assessment of the Safety and the Effectiveness of Linagliptin,Brigham and Women's Hospital,2019-03-15
Tailored Approaches to Stroke Health Education,34,stroke,Tailored Approaches to Stroke Health Education,Columbia University Medical Center,2017-06-08
Sensory Symptoms in Tourette Syndrome,18,syndrome,Sensory Symptoms in Tourette Syndrome,Vanderbilt University Medical Center,2022-03-01
Phase II Study of Dose-Adjusted EPOCH-Rituximab in Adults With Untreated Burkitt Lymphoma and c-MYC+ Diffuse Large B-Cell Lymphoma,18,plasmablastic lymphoma,"Phase II Study of Dose-Adjusted EPOCH+/-Rituximab in Adults With Untreated Burkitt Lymphoma, c-MYC Positive Diffuse Large B-Cell Lymphoma and Plasmablastic Lymphoma",Cleveland Clinic,2021-02-28
A User Performance and System Use Evaluation of a New Blood Glucose Monitoring System ( BGMS),12,diabetes mellitus,US Regulatory Clinical Evaluation - User Performance and System Use Evaluation of a New Blood Glucose Monitoring System.,Royal Infirmary of Edinburgh,2019-04-19
Ablation Verses Anti-arrhythmic Therapy for Reducing All Hospital Episodes From Recurrent Atrial Fibrillation,18,heart failure,Ablation Verses Anti-arrhythmic Therapy for Reducing All Hospital Episodes From Recurrent Atrial Fibrillation,Castle Hill Hospital,2018-09-30
Clinical and Genetic Characteristics of Coronary Artery Disease in Chinese Young Adults,18,coronary artery disease,Clinical and Genetic Characteristics of Coronary Artery Disease in Chinese Young Adults,China-Japan Friendship Hospital,2019-05-01
REAL HEALTH-Diabetes: Reach Ahead for Lifestyle and Health-Diabetes,18,diabetes mellitus,REAL HEALTH-Diabetes: Reach Ahead for Lifestyle and Health-Diabetes,Massachusetts General Hospital,2019-07-01
"Mapping the Genotype, Phenotype, and Natural History of Phelan-McDermid Syndrome",3,syndrome,"Mapping the Genotype, Phenotype, and Natural History of Phelan-McDermid Syndrome",Stanford University,2019-12-01
Cognitive Effects of Vinpocetine in Healthy Adults and Patients With Epilepsy,18,epilepsy,Cognitive Effects of Vinpocetine in Healthy Adults and Patients With Epilepsy,Stanford University,2019-08-01
A Comparison of Reduced Dose Total Body Irradiation (TBI) and Cyclophosphamide With Fludarabine and Melphalan Reduced Intensity Conditioning in Adults With Acute Lymphoblastic Leukaemia (ALL) in Complete Remission. (ALL-RIC),40,leukemia,A Comparison of Reduced Dose Total Body Irradiation (TBI) and Cyclophosphamide With Fludarabine and Melphalan Reduced Intensity Conditioning in Adults With Acute Lymphoblastic Leukaemia (ALL) in Complete Remission. (ALL-RIC),King's College London,2024-11-22
