col0,col1,col2
Mystic Seaport,1929-12-29,1929-12-29
Maritime Museum,1933-05-28,1938-05-28
Nederlands Scheepvaartmuseum,1916-01-01,1922-01-01
San Francisco Maritime National Historical Park,1978-01-01,1988-01-01
Viking Ship Museum,1962-01-01,1969-01-01
Museo del Mar de Galicia,2002-01-01,2002-06-01
Jamaica Inn,1750-01-01,1750-01-01
Musée national de la Marine,1827-01-01,1752-01-01
Maritime Museum of Barcelona,1936-10-23,1941-01-18
National Maritime Museum,1937-01-01,1937-01-01
Vancouver Maritime Museum,1959-01-01,1959-01-01
Yamato Museum,2005-04-23,2005-01-01
Museo Nao Victoria,2011-01-01,2011-01-01
Viking Ship Museum,1926-01-01,1926-01-01
"Intrepid Sea, Air & Space Museum",1982-01-01,1982-01-01
International Maritime Museum Hamburg,2008-06-25,2008-01-01
Vasa Museum,1990-06-15,1990-06-15
Lighthouse of Genoa,1543-01-01,2004-01-01
Ardnamurchan Lighthouse,1849-01-01,1849-01-01
Nantucket Whaling Museum,1929-01-01,1929-01-01
