col0,col1,col2,col3,col4,col5,col6
Combination Chemotherapy With or Without Temsirolimus in Treating Patients With Intermediate Risk Rhabdomyosarcoma,397,vinorelbine,2023-03-01,phase III clinical trial,Columbia University,rhabdomyosarcoma
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,420,cisplatin,2024-06-01,phase III clinical trial,Vanderbilt University,seminoma
Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,3021,diclofenac,2018-10-01,phase III clinical trial,Yonsei University,chronic pain
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,420,cisplatin,2024-06-01,phase III clinical trial,Vanderbilt University,teratoma
Vortioxetine for Binge Eating Disorder,80,vortioxetine,2018-11-01,phase II clinical trial,University of Chicago,bulimia
Dabrafenib and Trametinib in Treating Patients With Stage III-IV BRAF Mutant Melanoma That Cannot Be Removed by Surgery,280,dabrafenib,2020-06-15,phase II clinical trial,Columbia University,melanoma
Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,3021,diclofenac,2018-10-01,phase III clinical trial,Yonsei University,osteoarthritis
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,methotrexate,2022-10-31,phase III clinical trial,University of Arizona,Burkitt lymphoma
"A Study to Determine Dose and Tolerability of CC-220 Monotherapy, in Combination With Dexamethasone, and in Combination With Dexamethasone and Daratumumab or Bortezomib in Subjects With Relapsed and Refractory Multiple Myeloma",154,cyclophosphamide,2021-03-16,phase I clinical trial,Vrije Universiteit,multiple myeloma
Evaluation of Safety of Pomalidomide in Combination With Dexamethasone,682,thalidomide,2019-12-11,phase III clinical trial,Katholieke Universiteit Leuven,multiple myeloma
Pomalidomide and Dexamethasone With or Without Ixazomib in Treating Patients With Relapsed Multiple Myeloma,73,thalidomide,2021-03-01,phase I clinical trial,"University of California, San Diego",multiple myeloma
Evaluation of Safety of Pomalidomide in Combination With Dexamethasone,682,thalidomide,2019-12-11,phase III clinical trial,Hospital de Sant Pau,multiple myeloma
An Efficacy and Safety Study of Azacitidine Subcutaneous in Combination With Durvalumab,213,azacitidine,2018-10-31,phase II clinical trial,Vrije Universiteit,syndrome
Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,598,methotrexate,2022-10-31,phase III clinical trial,McMaster University,leukemia
A Safety and Efficacy Study of LGH447 in Patients With Acute Myeloid Leukemia,70,staurosporine,2019-09-03,phase I clinical trial,Novartis,leukemia
