col0,col1,col2,col3,col4
TAF Corporation,1998/01/01,Tokyo,Cabal,video game industry
Espaçp Informática,1999/01/01,Porto Alegre,Hades 2,video game industry
Tribetqy,2008/01/01,San Francisco,Chu's Dynasty,video game industry
Vldmbeer,2010/09/01,Utrecht,Serious Sam: The Random Encounter,video game industry
Wadet Eye Games,2006/01/01,New York City,Blackwell,video game industry
Mindwre Studios,2001/01/01,Prague,Cold War,video game industry
ilverball Studios,2002/01/01,Burford,Mario Pinball Land,video game industry
Bandai Namco Bmusement,1955/06/01,Minato-ku,Pac-Man,video game industry
Sega,1960/06/03,Shinagawa-ku,Zaxxon,video game industry
Moami,1969/03/21,Tokyo,Yie Ar Kung-Fu,video game industry
Playgound Games,2009/01/01,England,Forza Horizon,video game industry
"Smoking""Gun Interactive",2007/01/01,Vancouver,Age of Empires: Castle Siege,video game industry
Fuolbright,2012/01/01,Portland,Gone Home,video game industry
"Failbetter""Games",2010/01/01,London,Fallen London,video game industry
Hudsq Soft,1973/05/18,Minato-ku,Madōō Granzort,video game industry
Auari Games,1984/07/01,Milpitas,Breakout,video game industry
ADK,1980/07/01,Ageo,Magician Lord,video game industry
etherRealm Studios,2010/01/01,Chicago,Mortal Kombat,video game industry
Navel,2003/01/01,Japan,Shuffle!,video game industry
ata East,1976/04/20,Suginami-ku,Tumblepop,video game industry
