col0,col1,col2
Tinderbox Theatre,Crescent Arts Centre,1988-01-01
Apples and Snakes,The Albany,1982-01-01
Municipal and Regional Theatre of Roumeli,Lamia,1983-01-01
TN! Theatre Company,Brisbane,1979-01-01
B Street Theatre,Sacramento,1986-01-01
Centrum experimentálního divadla,Brno,2001-11-06
Nea Skini Technis,Athens,1995-01-01
Theater Company Praksi,Athens,1987-01-01
Fasma,Athens,1990-01-01
Theatro Technis,Athens,1942-01-01
Anna Sedláčková Theatre,Prague,1939-01-01
Divadlo MANA,Prague,2009-07-31
Divadlo Dada,Prague,1927-01-01
Depresivní děti touží po penězích,Prague,2000-02-28
Cirk La Putyka,Prague,2009-09-30
Polish Royal Opera,Warsaw,2017-08-01
New York Theatre Workshop,New York City,1979-01-01
Aplo Theatro,Aplo Theatro,1974-01-01
Theatrical organization Neos Logos,Studio Mavromichali,1995-01-01
Municipal and Regional Theatre of Larisa,Theatro tou Mylou,1983-01-01
