col0,col1,col2
Białystok Voivodeship,10055,1998-12-31
Zielona Góra Voivodeship,14580,1975-05-31
Wrocław Voivodeship,6287,1998-01-01
Poznań Voivodeship,16166,1793-01-01
Białystok Voivodeship,23154,1975-06-01
Polesie Voivodeship,36668,1939-09-01
Kraków Voivodeship,17560,1939-09-01
Rawa Voivodeship,6200,1793-01-01
Nowogródek Voivodeship,22966,1939-12-04
Lwów Voivodeship,28402,1939-12-04
Chełmno Voivodeship,4654,1793-01-01
Wołyń Voivodeship,35754,1939-01-01
Warsaw Voivodeship,3788,1998-01-01
Łomża Voivodeship,6684,1998-12-31
Suwałki Voivodeship,10490,1998-12-31
Słupsk Voivodeship,7453,1998-01-01
Chełm Voivodeship,3866,1998-12-31
Toruń Voivodeship,5348,1998-01-01
Sieradz Voivodeship,4868,1998-01-01
Siedlce Voivodeship,8499,1998-01-01
