col0,col1,col2,col3
USS Chittenden County,Missouri Valley Bridge & Iron Co.,LST-542-class tank landing ship,United States Navy
USS Chesterfield County,Missouri Valley Bridge & Iron Co.,LST-542-class tank landing ship,United States Navy
USS LST-1064,Bethlehem Hingham Shipyard,LST-542-class tank landing ship,United States Navy
USS Hamilton County,Jeffboat,LST-542-class tank landing ship,United States Navy
USS Greer County,Jeffboat,LST-542-class tank landing ship,United States Navy
USS Dodge County,Jeffboat,LST-542-class tank landing ship,United States Navy
USS DeKalb County,Jeffboat,LST-542-class tank landing ship,United States Navy
USS LST-1038,Dravo Corporation,LST-542-class tank landing ship,United States Navy
USS Garfield County,Dravo Corporation,LST-542-class tank landing ship,United States Navy
USS Dunn County,Dravo Corporation,LST-542-class tank landing ship,United States Navy
USS Douglas County,Dravo Corporation,LST-542-class tank landing ship,United States Navy
