col0,col1,col2,col3,col4
Teva Czech Industries,1851705000,16216200000,8891653000,14135969000
Natland Group,642580000,3191076000,570475000,1987846000
Budějovická investiční fond s proměnným základním kapitálem,194864000,2922701000,172875000,1641965000
Pražské Vodovody a Kanalizace,641223000,4409958000,7400523000,1001407000
Wildberries,1558183000,19624590000,47470895000,1697147000
Mini Maritsa Iztok,9808000,1160890000,565959000,836468000
Kronstadt Marine Plant,329753000,3080789000,1948678000,1617009000
2GIS,261286000,3122878000,3046012000,1065846000
BPA sport marketing,-7053000,236987000,1162841000,110509000
Pražská vodohospodářská společnost,43412000,3030305000,3535335000,161272000
