col0,col1,col2
Musée de la Chasse et de la Nature,musée de France,Paris
Musée du Président François Mitterrand,musée de France,Château-Chinon (Ville)
Brazilian Historic and Geographic Institute,Ordem do Mérito Cultural,Rio de Janeiro
Museum Boijmans Van Beuningen,BankGiro Loterij Museum award,Rotterdam
Fries Museum,BankGiro Loterij Museum award,Leeuwarden
Cité de l'Automobile,musée de France,Mulhouse
Atelier Cézanne,musée de France,Aix-en-Provence
Antique Dealers' Museum,musée de France,Caen
Jewish Historical Museum,BankGiro Loterij Museum award,Amsterdam
Château de Monte-Cristo,Maisons des Illustres,Le Port-Marly
musée Nicéphore-Niépce,musée de France,Chalon-sur-Saône
Hungarian Geographical Museum,Hungarian Heritage Award,Érd
De Appel,Amsterdam Prize of the Arts,Amsterdam
Natuurmuseum Fryslân,BankGiro Loterij Museum award,Leeuwarden
Musée de la Grande Guerre du Pays de Meaux,label Tourisme et Handicap,Meaux
Musée Curie,Maisons des Illustres,Paris
International Museum of the Reformation,Council of Europe Museum Prize,Geneva
Ecomusée d'Alsace,musée de France,Ungersheim
