col0,col1,col2,col3
Cameo Record Corporation,Cameo,Cameo,American Record Corporation
Congress Record Corp.,Congress,congress,"Kapp Records, Inc."
"Fantasy Records, Inc.",Galaxy,Fantasy,Concord Bicycle Music
"CBS Records, Inc.",CBS Masterworks,CBS Records,Sony Corporation of America
"MCA Records, Inc.",MCA Records,MCA,MCA Inc.
"Universal City Records, Inc.",Uni,Universal City,MCA Inc.
Columbia Graphophone Company Ltd.,Regal,Columbia Records,Columbia Graphophone Company
RCA Records,RCA,RCA,Sony Music
CBS Italiana S.p.A.,CBS,CBS,Columbia Records
Rhino Entertainment Company,Rhino,Rhino,Warner Music Group
EMI,EMI United Kingdom,EMI,Warner Music Group
Decca Music Group Limited,Decca,Decca,Decca Limited
