col0,col1,col2,col3,col4
Judo at the 2012 Summer Olympics – Women's +78 kg,2012-01-01,International Olympic Committee,Idalys Ortiz,Judo at the 2016 Summer Olympics – Women's +78 kg
Judo at the 2012 Summer Olympics – Women's 48 kg,2012-01-01,International Olympic Committee,Sarah Menezes,Judo at the 2016 Summer Olympics – Women's 48 kg
Athletics at the 2012 Summer Olympics – Men's shot put,2012-01-01,International Olympic Committee,Tomasz Majewski,Athletics at the 2016 Summer Olympics – Men's shot put
Fencing at the 2012 Summer Olympics – Men's sabre,2012-01-01,International Olympic Committee,Áron Szilágyi,Fencing at the 2016 Summer Olympics – Men's sabre
Fencing at the 2008 Summer Olympics – Women's team sabre,2008-08-14,International Olympic Committee,Olha Zhovnir,Fencing at the 2016 Summer Olympics – Women's team sabre
figure skating at the 2010 Winter Olympics – pair skating,2010-02-01,International Olympic Committee,Zhao Hongbo,figure skating at the 2014 Winter Olympics – pair skating
Nordic combined at the 2010 Winter Olympics – Individual large hill/10 km,2010-01-01,International Olympic Committee,Bill Demong,Nordic combined at the 2014 Winter Olympics – Individual large hill/10 km
Nordic combined at the 2010 Winter Olympics – Team large hill/4 × 5 km,2010-01-01,International Olympic Committee,Bernhard Gruber,Nordic combined at the 2014 Winter Olympics – Team large hill/4 × 5 km
Cross-country skiing at the 2010 Winter Olympics – Women's 10 kilometre freestyle,2010-01-01,International Olympic Committee,Charlotte Kalla,Cross-country skiing at the 2014 Winter Olympics – Women's 10 kilometre classical
Biathlon at the 2010 Winter Olympics – Men's mass start,2010-01-01,International Olympic Committee,Evgeny Ustyugov,Biathlon at the 2014 Winter Olympics – Men's mass start
Biathlon at the 2010 Winter Olympics – Men's sprint,2010-01-01,International Olympic Committee,Vincent Jay,Biathlon at the 2014 Winter Olympics – Men's sprint
Fencing at the 2000 Summer Olympics – Men's épée,2000-01-01,International Olympic Committee,Pavel Kolobkov,Fencing at the 2004 Summer Olympics – Men's épée
Fencing at the 2000 Summer Olympics – Men's foil,2000-01-01,International Olympic Committee,Kim Young-ho,Fencing at the 2004 Summer Olympics – Men's foil
Fencing at the 2000 Summer Olympics – Men's team foil,2000-01-01,International Olympic Committee,Jean-Noël Ferrari,Fencing at the 2004 Summer Olympics – Men's team foil
Athletics at the 1988 Summer Olympics – Men's discus throw,1988-01-01,International Olympic Committee,Jürgen Schult,Athletics at the 1992 Summer Olympics – Men's discus throw
Athletics at the 1972 Summer Olympics – Women's shot put,1972-01-01,International Olympic Committee,Nadezhda Chizhova,Athletics at the 1976 Summer Olympics – Women's shot put
Athletics at the 1984 Summer Olympics – Men's 800 metres,1984-01-01,International Olympic Committee,Joaquim Cruz,Athletics at the 1988 Summer Olympics – Men's 800 metres
Cycling at the 2008 Summer Olympics – Men's team pursuit,2008-01-01,Union Cycliste Internationale,Bradley Wiggins,Cycling at the 2012 Summer Olympics – Men's team pursuit
Athletics at the 2008 Summer Olympics – Men's triple jump,2008-08-18,International Olympic Committee,Nelson Évora,Athletics at the 2012 Summer Olympics – Men's triple jump
Athletics at the 2008 Summer Olympics – Women's discus throw,2008-01-01,International Olympic Committee,Stephanie Brown Trafton,Athletics at the 2012 Summer Olympics – Women's discus throw
Fencing at the 2000 Summer Olympics – Men's sabre,2000-01-01,International Olympic Committee,Mihai Covaliu,Fencing at the 2004 Summer Olympics – Men's sabre
Men's 400 metres Hurdles at the 2000 Summer Olympics,2000-01-01,International Olympic Committee,Angelo Taylor,Athletics at the 2004 Summer Olympics – Men's 400 metres hurdles
Athletics at the 1996 Summer Olympics – Men's decathlon,1996-01-01,International Olympic Committee,Dan O'Brien,Athletics at the 2000 Summer Olympics – Men's decathlon
Athletics at the 2008 Summer Olympics – Women's 4 × 100 metres relay,2008-01-01,International Olympic Committee,Olivia Borlée,Athletics at the 2012 Summer Olympics – Women's 4 × 100 metres relay
Fencing at the 2000 Summer Olympics – Men's team épée,2000-01-01,International Olympic Committee,Angelo Mazzoni,Fencing at the 2004 Summer Olympics – Men's team épée
Cycling at the 2008 Summer Olympics – Women's road time trial,2008-01-01,Union Cycliste Internationale,Kristin Armstrong,Cycling at the 2012 Summer Olympics – Women's road time trial
Athletics at the 2004 Summer Olympics – Women's shot put,2004-01-01,International Olympic Committee,Yumileidi Cumbá,Athletics at the 2008 Summer Olympics – Women's shot put
