col0,col1,col2
Jadran Film,1946-01-01,European Film Award for Best Film
Renn Productions,1963-04-16,European Film Award for Best Film
Pathé Distribution,1921-01-01,European Film Award for Best Film
Paradis Films,1983-01-01,European Film Award for Best Film
Tiger Aspect Productions,1988-01-01,European Film Award for Best Film
Les Films d'ici,1978-01-01,European Film Award for Best Film
Number 9 Films,2002-01-01,European Film Award for Best Film
Les Films du Fleuve,1994-01-01,European Film Award for Best Film
Bazmark,1997-01-01,European Film Award for Best Non-European Film
Indigo Film,1994-01-01,European Film Award for Best Film
Memfis Film,1989-01-01,European Film Award for Best Film
France 3 Cinéma,1984-01-01,European Film Award for Best Film
France 2 Cinéma,1980-12-22,European Film Award for Best Film
Sputnik,1987-01-01,European Film Award for Best Film
ARP Sélection,1984-01-20,European Film Award for Best Film
Razor Film,2002-10-01,European Film Award for Best Film
Biograf Jan Svěrák,1994-01-01,European Film Award for Best Film
Thin Man Films,1988-01-01,European Film Award for Best Film
Telecinco Cinema,1996-09-23,European Film Award for Best Film
HandMade Films,1978-01-01,Goya Award for Best Animated Film
