col0,col1,col2,col3,col4
Sistar,Sistar discography,2010-01-01,Seoul,2010-01-01
Secret,Secret discography,2009-01-01,Seoul,2009-01-01
f,f(x) discography,2009-01-01,Seoul,2009-01-01
Girls' Generation,Girls' Generation discography,2007-08-02,Seoul,2007-01-01
Arabesque,Arabesque discography,1977-01-01,Offenbach am Main,1977-01-01
The Andrews Sisters,The Andrews Sisters discography,1925-01-01,Minnesota,1925-01-01
Momoiro Clover Z,Momoiro Clover Z discography,2008-01-01,Tokyo,2008-01-01
Bandana,Bandana discography,2001-01-01,Buenos Aires,2001-01-01
S.H.E,S.H.E discography,2001-01-01,Taiwan,2001-01-01
Serebro,Serebro discography,2006-01-01,Moscow,2006-01-01
All Saints,All Saints discography,1993-01-01,London,1993-01-01
