col0,col1,col2
Poole Museum,Poole,Grade I listed building
The Salisbury Museum,Salisbury,Grade I listed building
"St Hilary Church, Cornwall",Cornwall,Grade I listed building
Kingston Museum,Royal Borough of Kingston upon Thames,Grade II listed building
Helston Museum,Cornwall,Grade II listed building
Leeds City Museum,Leeds,Grade II* listed building or structure
Marlipins Museum,Adur,Grade II* listed building or structure
Lancaster City Museum,Lancaster,Grade II* listed building or structure
Mill Green Museum,Hatfield,Grade II* listed building or structure
Landguard Fort,Suffolk Coastal,Grade I listed building
Hollytrees Museum,Colchester,Grade I listed building
Forty Hall,London Borough of Enfield,Grade I listed building
Cambridge Museum of Technology,Cambridge,scheduled monument
