col0,col1,col2
Honda Malaysia Racing Team,auto racing,Malaysia
Scuderia Achille Varzi,auto racing,Argentina
Sonnenwagen Aachen,Solar car racing,Germany
Bassani Racing,auto racing,Brazil
Cheng-Tung-Panciatici,endurance racing,People's Republic of China
Salmson Le Mans #33,endurance racing,France
Charles Montier Le Mans #19,endurance racing,France
Signatech #36,endurance racing,France
Renault e.dams,auto racing,France
Rondeau,motorsport,France
Toyota GAZOO Racing WRC,rallying,Finland
Excelsior Le Mans #2,endurance racing,Belgium
Heros Racing,Formula One,Japan
McGuire,Formula One,Australia
Audi Sport,auto racing,Germany
Sport Club Corinthians Paulista,association football,Brazil
Barnsley,motorcycle speedway,United Kingdom
Ecurie Ecosse,auto racing,United Kingdom
OAK Racing,auto racing,France
Lucchini Engineering,auto racing,France
