col0,col1,col2,col3,col4
WBUR-FM,Boston University,United States of America,1950-01-01,Boston
WRBB,Northeastern University,United States of America,1970-01-01,Boston
WUMB-FM,University of Massachusetts Boston,United States of America,1982-01-01,Boston
Ouï FM,Arthur,France,1987-01-01,Paris
France Info,Radio France,France,1987-06-01,Paris
NRJ,NRJ Group,France,1981-01-01,Paris
Europe 1,Europäische Rundfunk- und Fernseh-GmbH,France,1955-04-01,Paris
RTL,RTL Group,France,1933-01-01,Paris
WTNT,Metro Radio,United States of America,1945-01-01,Alexandria
Choice FM,Global,United Kingdom,1990-01-01,London
Kerrang Radio,Bauer Radio,United Kingdom,2004-01-01,London
KXOL-FM,Spanish Broadcasting System,United States of America,1949-01-01,Los Angeles
KLVE,Univision Radio,United States of America,1975-01-01,Los Angeles
