col0,col1,col2,col3,col4,col5
Freenet AG,2007-03-02,Germany,Büdelsdorf,Aktiengesellschaft,telecommunications industry
Wolfsburg AG,1999-01-01,Germany,Wolfsburg,Aktiengesellschaft,economic development
PKP Polskie Linie Kolejowe,2001-01-01,Poland,Warsaw,S.A.,rail transport
Vega Radio Engineering Corporation,1944-01-01,Russia,Moscow,public company,aerospace industry
Bastei Lubbe,1953-01-01,Germany,Cologne,Aktiengesellschaft,publisher
Uralsib,1993-01-01,Russia,Moscow,joint-stock company,financial services
Bionicon,2002-01-01,Germany,Rottach-Egern,GmbH,production
Friedrich Krupp AG,1903-01-01,Germany,Essen,Aktiengesellschaft,heavy industry
Geox,1995-01-01,Italy,Montebelluna,S.p.A.,textile industry
Zur Rose AG,1993-01-01,Switzerland,Steckborn,Aktiengesellschaft,pharmaceutical industry
Krasnoyarsk machine-building plant,1932-07-13,Russia,Krasnoyarsk,joint-stock company,Arms industry
