col0,col1,col2
Hansa,Hansa,various genre
Island Records,Island Records,reggae
Parlophone,Parlophone,jazz
Tabu Recordings,Tabu,heavy metal
RCA Red Seal,Red Seal,classical music
Gemini Records,Gemini,jazz
Grunt,Grunt,rock music
Epic,Epic Records,various genre
Deutsche Grammophon,Gramophone,classical music
Caroline Records,Caroline,jazz
RCA Records,RCA,jazz
Epitaph Records,Epitaph,various genre
Drakkar Entertainment,Drakkar,heavy metal
Chess Records,Chess,jazz
Stax,Stax,jazz
Regal Records,Regal Records,jazz
Paramount,Paramount,jazz
Arista,Arista,various genre
Megaforce Records,Megaforce,alternative rock
A&M Records,A&M,jazz
