col0,col1,col2,col3
Roman Catholic Diocese of Yei,South Sudan,Ecclesiastical province of Juba,46000.0
Roman Catholic Diocese of Wau,South Sudan,Ecclesiastical province of Juba,134572.0
Roman Catholic Diocese of Udon Thani,Thailand,Ecclesiastical Province of Thare and Nonseng,50046.0
Roman Catholic Diocese of Ubon Ratchathani,Thailand,Ecclesiastical Province of Thare and Nonseng,53917.0
diocese of Valleyfield,Canada,Montréal,3225.0
Roman Catholic Diocese of Wallis et Futuna,France,Ecclesiastical Province of Nouméa,142.0
Roman Catholic Diocese of Torit,South Sudan,Ecclesiastical province of Juba,82542.0
Roman Catholic Diocese of Rumbek,South Sudan,Ecclesiastical province of Juba,58003.0
Roman Catholic Diocese of Huesca,Spain,Ecclesiastical province of Zaragoza,4728.0
Catholic Diocese of Helsinki,Finland,Catholic Church,338145.0
Roman Catholic Diocese of Chiang Mai,Thailand,Ecclesiastical Province of Bangkok,48013.0
Roman Catholic Diocese of Chioggia,Italy,Roman Catholic Ecclesiastical Province of Venice,1000.0
Roman Catholic Diocese of Santander,Spain,Ecclesiastical Province of Oviedo,5527.0
Roman Catholic Diocese of Sant Feliu de Llobregat,Spain,Ecclesiastical province of Barcelona,1610.7
Roman Catholic Diocese of San Sebastián,Spain,Ecclesiastical province of Pamplona and Tudela,1977.0
Roman Catholic Diocese of San Marco Argentano-Scalea,Italy,Roman Catholicism in Italy,1142.0
Roman Catholic Diocese of Brno,Czech Republic,Ecclesiastical province of Olomouc,10597.0
Roman Catholic Diocese of Calahorra y La Calzada-Logroño,Spain,Ecclesiastical province of Pamplona and Tudela,5033.0
Roman Catholic Diocese of Cassano all'Jonio,Italy,Roman Catholicism in Italy,1311.0
Roman Catholic Diocese of Terrassa,Spain,Ecclesiastical province of Barcelona,1200.0
