col0,col1,col2
Roman Catholic Archdiocese of Porto Velho,680000,84696
Roman Catholic Archdiocese of Resistencia,625600,28250
Roman Catholic Archdiocese of Santa Fe de la Vera Cruz,996000,30701
Roman Catholic Archdiocese of Portoviejo,1496366,21000
Roman Catholic Archdiocese of Cuzco,2173000,23807
Roman Catholic Archdiocese of Alba Iulia,4017256,58254
Roman Catholic Archdiocese of San Francisco,1776095,6023
Roman Catholic Archdiocese of Đakovo-Osijek,641000,7752
Roman Catholic Archdiocese of Corrientes,1040000,26218
Roman Catholic Archdiocese of Kansas City in Kansas,1357512,32437
Roman Catholic Archdiocese of Khartoum,22605444,981000
