col0,col1,col2
Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,Baltimore
Drexel University,Anthony J. Drexel Picture Gallery,Philadelphia
Carnegie Mellon University,Tepper School of Business,Pittsburgh
University of Chicago,University of Chicago Law School,Chicago
University of Southern California,USC Shoah Foundation Institute for Visual History and Education,Los Angeles
Pacific University,Old College Hall,Forest Grove
Antioch University,Antioch College,Yellow Springs
American Musical and Dramatic Academy,AMDA College and Conservatory of the Performing Arts,Manhattan
Cranbrook Educational Community,Cranbrook Art Museum,Bloomfield Hills
Wheaton College,Buswell Memorial Library,Wheaton
Princeton Theological Seminary,Princeton Theological Seminary Library,Princeton
Baylor University,Armstrong Browning Library,Waco
Rice University,Fondren Library,Houston
Butler University,Irwin Library,Indianapolis
Illinois Institute of Technology,Illinois Institute of Technology Academic Campus,Chicago
Howard University,Howard University School of Law,"Washington, D.C."
Yeshiva University,Albert Einstein College of Medicine,New York City
Simmons University,Simmons College Center for the Study of Children's Literature,Massachusetts
Hebrew Theological College,Fasman Yeshiva High School,Skokie
Simpson College,Smith Memorial Chapel,Iowa
