col0,col1,col2
Yale Divinity School,Connecticut,New Haven
Uzhgorod Theological Academy,Uzhhorod,Uzhhorod
Wesley Theological Seminary,"Washington, D.C.","Washington, D.C."
Berkeley Divinity School,Connecticut,New Haven
Columbia International University,South Carolina,Columbia
Bhaktivedanta College,Durbuy,Durbuy
Princeton Theological Seminary,Princeton,Princeton
Harvard Divinity School,Cambridge,Cambridge
Wycliffe Hall,Oxford,Oxford
Association of Theological Schools in the United States and Canada,Pittsburgh,Pittsburgh
Union Theological Seminary,New York City,New York City
Leeds Clergy School,Leeds,Clarendon House
Luther Seminary,Saint Anthony Park,Saint Paul
